               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,              0.0247,            0.004717,                   0,                   1,             0.99304,               0.995,             0.52796,            0.031198,           0.0037894,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.025143,           0.0044994,                   0,             0.99774,                0.96,             0.99071,             0.52971,              0.0307,           0.0037799,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.023855,           0.0050323,                   0,             0.99743,                0.96,             0.98357,             0.55004,            0.029222,           0.0038223,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.022248,           0.0049803,                   0,                   1,             0.95727,             0.98441,             0.52344,            0.030655,           0.0038662,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.023605,           0.0049232,                   0,             0.99844,                0.96,             0.98064,             0.52981,            0.032008,           0.0038409,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.023836,           0.0047542,                   0,             0.99622,                0.96,             0.97773,             0.55225,            0.031861,           0.0038676,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.023413,           0.0048829,                   0,              0.9948,                0.96,             0.97167,               0.539,            0.030811,           0.0039639,                   0,            0.003664,            0.003664,            0.003664
                 130,             0.02207,           0.0046535,                   0,              0.9953,                0.96,             0.97195,             0.55402,            0.028613,           0.0039387,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.022413,           0.0049956,                   0,             0.99489,                0.96,             0.97773,             0.53814,            0.030023,           0.0038624,                   0,            0.003565,            0.003565,            0.003565
                 132,             0.02383,            0.004509,                   0,             0.99225,                0.96,             0.98441,             0.50793,            0.029595,           0.0038638,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.022167,           0.0050037,                   0,             0.99367,                0.96,             0.99071,             0.55125,              0.0288,           0.0037494,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.022875,           0.0049929,                   0,             0.99409,                0.96,             0.99346,             0.54306,            0.028927,           0.0037174,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.022375,           0.0043679,                   0,             0.92257,             0.95335,             0.97491,              0.5486,            0.027357,           0.0036855,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.021915,           0.0043629,                   0,             0.95248,                0.92,             0.97161,             0.57182,            0.027475,           0.0036402,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.021938,           0.0045651,                   0,             0.95407,                0.92,             0.97048,             0.55495,            0.027764,           0.0036554,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.022396,           0.0044802,                   0,             0.95396,                0.92,             0.95525,             0.54145,            0.028346,           0.0036955,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,             0.02208,           0.0040832,                   0,             0.95222,                0.92,             0.96756,             0.53239,            0.029705,           0.0037646,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.022667,           0.0040373,                   0,             0.99482,                0.96,             0.98625,             0.54004,            0.029608,           0.0038037,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.021479,           0.0044116,                   0,             0.95485,                0.92,             0.95527,             0.53312,            0.030009,           0.0038519,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.019556,           0.0040273,                   0,             0.99589,                0.96,             0.98357,             0.53077,            0.031001,           0.0038218,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.020497,           0.0043614,                   0,             0.99615,                0.96,             0.98625,             0.55907,            0.031988,           0.0037837,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.021474,           0.0039418,                   0,             0.99645,                0.96,             0.99071,             0.56182,            0.030945,           0.0037365,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.021891,           0.0040036,                   0,                   1,             0.99673,               0.995,             0.58986,            0.028389,           0.0036821,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.020894,           0.0043759,                   0,                   1,              0.9963,               0.995,             0.57801,            0.028121,           0.0037184,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.020604,           0.0042866,                   0,             0.99578,                0.96,             0.98132,             0.55379,            0.026972,           0.0037808,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.019722,           0.0044291,                   0,             0.99469,                0.96,             0.96426,             0.56358,             0.02699,           0.0037322,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.020932,           0.0044137,                   0,             0.99391,                0.96,             0.98441,             0.57796,            0.026438,           0.0037003,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.019647,           0.0044755,                   0,             0.99514,                0.96,             0.98357,              0.5859,            0.026887,            0.003684,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.020394,           0.0047073,                   0,             0.99518,                0.96,             0.98203,             0.58357,            0.027247,           0.0037088,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.020907,           0.0046247,                   0,             0.99518,                0.96,             0.97461,             0.55545,            0.027886,           0.0037527,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.018999,           0.0039514,                   0,              0.9962,                0.96,             0.97318,             0.57196,            0.026815,           0.0037661,                   0,            0.002476,            0.002476,            0.002476
                 154,             0.01951,           0.0045744,                   0,             0.99635,                0.96,             0.97254,             0.53382,             0.02743,           0.0037727,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.018979,           0.0042096,                   0,             0.99698,                0.96,                0.98,             0.54823,            0.026627,           0.0037246,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.018061,           0.0045813,                   0,             0.99712,                0.96,             0.98132,             0.55976,            0.026092,           0.0036707,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.020041,           0.0042022,                   0,             0.99755,                0.96,             0.98132,             0.55283,            0.026967,           0.0036802,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.018225,           0.0043807,                   0,             0.99809,                0.96,             0.98278,             0.57047,            0.026526,           0.0036654,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.018926,            0.004106,                   0,             0.99833,                0.96,              0.9853,             0.56188,            0.026489,           0.0036554,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.018137,           0.0044044,                   0,             0.99847,                0.96,             0.98726,             0.54316,            0.025889,           0.0036402,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.019801,           0.0040838,                   0,             0.99754,                0.96,             0.98726,             0.55435,            0.026798,           0.0036449,                   0,             0.00208,             0.00208,             0.00208
